,Medal,Beer Name,Brewery,City,State,Category,Year
252,Gold,Only Good Vibes,Halcyon Brewing Co.,Seattle,WA,Session India Pale AleCategory Sponsor: Wyeast Laboratories,2023
253,Silver,The Next Chapter,Original Pattern Brewing Co.,Oakland,CA,Session India Pale AleCategory Sponsor: Wyeast Laboratories,2023
254,Bronze,Micro Blaster,Shred Beer Co.,Rocklin,CA,Session India Pale AleCategory Sponsor: Wyeast Laboratories,2023
255,Gold,Ilaria,Whistle Hop Brewing Co.,Fairview,NC,Smoke Beer,2023
256,Silver,Helles Rauchbier,Double Clutch Brewing Co.,Evanston,IL,Smoke Beer,2023
257,Bronze,Schmoke Em’ Up,NewSylum Brewing Co.,Newtown,CT,Smoke Beer,2023
258,Gold,Goggle Fogger,Fat Head’s Brewery,Middleburg Heights,OH,South German-Style Hefeweizen,2023
259,Silver,Kulshan Hefeweizen,Kulshan Brewing Co. – K2,Bellingham,WA,South German-Style Hefeweizen,2023
260,Bronze,Hoofer’s Hef,Bankhead Brewing Co.,Rowlett,TX,South German-Style Hefeweizen,2023
261,Gold,Saft,Narrow Gauge Brewing Co.,Florissant,MO,Specialty Berliner-Style Weisse,2023
262,Silver,Jersey Vice,Bolero Snort Brewery,Carlstadt,NJ,Specialty Berliner-Style Weisse,2023
263,Bronze,La Cabrona,Hound Song Brewing Co.,Columbus,TX,Specialty Berliner-Style Weisse,2023
264,Gold,Shadow Saison Ale Beer with whole hibiscus flowers after fermentation,Musings Fermentation Underground,Newark,DE,Specialty Saison,2023
265,Silver,Freedom Fries w/ Cherry,Call To Arms Brewing Co.,Denver,CO,Specialty Saison,2023
266,Bronze,1710 Saison,Figurehead Brewing Co.,Seattle,WA,Specialty Saison,2023
267,Gold,Slainte,Legion Brewing Co.,Charlotte,NC,Stout,2023
268,Silver,Shinobi,Byway Brewing Co.,Hammond,IN,Stout,2023
269,Bronze,Silent Neighbor,Atlas Brew Works,Washington,DC,Stout,2023
270,Gold,Barometer Drop,Ballast Point Brewing Co. – Little Italy,San Diego,CA,Strong Porter,2023
271,Silver,Herd of Turtles,Bagby Beer Co.,Oceanside,CA,Strong Porter,2023
272,Bronze,Midnight Rider Imperial Porter,Great American Restaurants – Sweetwater Tavern Merrifield,Falls Church,VA,Strong Porter,2023
273,Gold,Wreak Havoc,Bootstrap Brewing,Longmont,CO,Strong Red Ale,2023
274,Silver,Say Hi To Your Dad For Me,Cloudburst Brewing,Seattle,WA,Strong Red Ale,2023
275,Bronze,Contemplation Time,Half Batch Brewing,Hendersonville,TN,Strong Red Ale,2023
276,Gold,Scout,Vibrissa Beer,Front Royal,VA,Sweet Stout or Cream Stout,2023
277,Silver,Milk Stout,Waredaca Brewing Co.,Gaithersburg,MD,Sweet Stout or Cream Stout,2023
278,Bronze,Moozie,Brink Brewing Co.,Cincinnati,OH,Sweet Stout or Cream Stout,2023
279,Gold,Oktoberfest,Port City Brewing Co.,Alexandria,VA,Vienna-Style Lager,2023
280,Silver,Oktoberfest,Silver Branch Brewing Co.,Silver Spring,MD,Vienna-Style Lager,2023
281,Bronze,Cape May Oktoberfest,Cape May Brewing Co.,Cape May,NJ,Vienna-Style Lager,2023
282,Gold,Westbound Select,Westbound & Down Brewing Co.,Idaho Springs,CO,West Coast-Style India Pale Ale,2023
283,Silver,Untold Prophecy,Slice Beer Co.,Lincoln,CA,West Coast-Style India Pale Ale,2023
284,Bronze,Bright Side IPA,Uprise Brewing Co.,Spokane,WA,West Coast-Style India Pale Ale,2023
285,Gold,Ye Olde Ale,Banded Oak Brewing Co.,Denver,CO,Wood- and Barrel-Aged Beer,2023
286,Silver,Barrel Aged Maibock,Blue Moon Brewing Co.,Denver,CO,Wood- and Barrel-Aged Beer,2023
287,Bronze,Bourbon Barrel Drafty Kilt,Monday Night Brewing – Garage,Atlanta,GA,Wood- and Barrel-Aged Beer,2023
288,Gold,Wet Hop Strata (2023),Barrique Brewing & Blending,Nashville,TN,Wood- and Barrel-Aged Sour Beer,2023
289,Silver,Sea of Waves,True Anomaly Brewing Co.,Houston,TX,Wood- and Barrel-Aged Sour Beer,2023
290,Bronze,Speedy G,MAP Brewing Co.,Bozeman,MT,Wood- and Barrel-Aged Sour Beer,2023
291,Gold,Rye Whiskey Barrel-Aged Atom Smasher,Rock Bottom Brewery – Bethesda,Bethesda,MD,Wood- and Barrel-Aged Strong Beer,2023
292,Silver,1314,Black Tooth Brewing Co.,Sheridan,WY,Wood- and Barrel-Aged Strong Beer,2023
293,Bronze,Amaro Barrel Aged Barleywine,pFriem Cascade Locks Barrelhouse,Cascade Locks,OR,Wood- and Barrel-Aged Strong Beer,2023
294,Gold,Breakside The Trappings and the Suits of Woe,Breakside Brewery – NW Slabtown,Portland,OR,Wood- and Barrel-Aged Strong Stout,2023
295,Silver,Black Market Liver,Windmills Brewery & Restaurant,The Colony,TX,Wood- and Barrel-Aged Strong Stout,2023
296,Bronze,Barrel Aged Count Chungus,Werk Force Brewing Co.,Plainfield,IL,Wood- and Barrel-Aged Strong Stout,2023
