,Medal,Beer Name,Brewery,City,State,Category,Year
50,Bronze,LMM Belgian Amber,Lone Man Mountain Brewing Co.,Driftwood,TX,Belgian-Style Ale or French-Style Ale,2023
51,Gold,All the Love You Won’t Forget,Autumn Arch Beer Project,Newark,DE,Belgian-Style Sour Ale,2023
52,Silver,Earth & Aether,Noble Creature Wild Ales & Lagers,Youngstown,OH,Belgian-Style Sour Ale,2023
53,Bronze,Trois Années Cuvée,Angel City Brewery,Los Angeles,CA,Belgian-Style Sour Ale,2023
54,Gold,Quadrupel Donker,Evans Brewing Co.,Corona,CA,Belgian-Style Strong Specialty Ale,2023
55,Silver,Thor’s Hammer,Redwood Brewing Co.,Flint,MI,Belgian-Style Strong Specialty Ale,2023
56,Bronze,Delta Quadrant,The Tap Brewery,Bloomington,IN,Belgian-Style Strong Specialty Ale,2023
57,Gold,White Rascal,Avery Brewing Co.,Boulder,CO,Belgian-Style Witbier,2023
58,Silver,Allagash White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2023
59,Bronze,White Goblin,Mathews Brewing Co.,Lake Worth,FL,Belgian-Style Witbier,2023
60,Gold,Hootenanny,Bankhead Brewing Co.,Rowlett,TX,Bock,2023
61,Silver,Breakline Bock,Rip Current Brewing,San Marcos,CA,Bock,2023
62,Bronze,Ain’t Afraid of No Goats,Metazoa Brewing Co.,Indianapolis,IN,Bock,2023
63,Gold,Crazy Horse,Lazarus Brewing Co.,Austin,TX,Bohemian-Style PilsenerCategory Sponsor: Wyeast Laboratories,2023
64,Silver,Daytonian Rhapsody,Eudora Brewing Co.,Dayton,OH,Bohemian-Style PilsenerCategory Sponsor: Wyeast Laboratories,2023
65,Bronze,Tahoe Pilz,FiftyFifty Brewing Co. – Production Facility,Truckee,CA,Bohemian-Style PilsenerCategory Sponsor: Wyeast Laboratories,2023
66,Gold,Tapestry From An Asteroid,The Big Friendly,Oklahoma City,OK,Brett Beer,2023
67,Silver,Druif Blanc,pFriem Cascade Locks Barrelhouse,Cascade Locks,OR,Brett Beer,2023
68,Bronze,Neon Butterfly,Deschutes Brewery & Public House,Portland,OR,Brett Beer,2023
69,Gold,Dark Matter Porter,Logboat Brewing Co.,Columbia,MO,Brown Porter,2023
70,Silver,Night Swim,Coppertail Brewing Co.,Tampa,FL,Brown Porter,2023
71,Bronze,Old Normal,Bend Brewing Co.,Bend,OR,Brown Porter,2023
72,Gold,Chilis from the Grave,Family Business Beer Co.,Dripping Springs,TX,Chili Beer,2023
73,Silver,Green Chile Honey Kölsch,Bent Barley Brewing Co.,Aurora,CO,Chili Beer,2023
74,Bronze,Hatch Nites,Lovelady Brewing Co.,Henderson,NV,Chili Beer,2023
75,Gold,Double Astral,Third Eye Brewing Co.,Sharonville,OH,Chocolate Beer,2023
76,Silver,Midnight Hike,River North Brewery,Denver,CO,Chocolate Beer,2023
77,Bronze,Because You’re Mine,The Bruery,Placentia,CA,Chocolate Beer,2023
78,Gold,Kal-El,Protagonist Beer,Charlotte,NC,Classic Saison,2023
79,Silver,Disco Elephant,New York Beer Project,Lockport,NY,Classic Saison,2023
80,Bronze,Saison Parfait,Little Beast Brewing,Clackamas,OR,Classic Saison,2023
81,Gold,Cuppa Joe Coffee Brown Ale,Kulshan Brewing Co.,Bellingham,WA,Coffee Beer,2023
82,Silver,Kurt’s Mile High Malt,Wynkoop Brewing Co.,Denver,CO,Coffee Beer,2023
83,Bronze,Conditions of My Parole,The Empourium Brewing Co.,Denver,CO,Coffee Beer,2023
84,Gold,Lil Zoomie,Brink Brewing Co.,Cincinnati,OH,Coffee Stout or PorterCategory Sponsor: Chart Industries,2023
85,Silver,Super Tonic,Docent Brewing,San Juan Capistrano,CA,Coffee Stout or PorterCategory Sponsor: Chart Industries,2023
86,Bronze,Venti is Large,Hop Dogma Brewing Co.,Half Moon Bay,CA,Coffee Stout or PorterCategory Sponsor: Chart Industries,2023
87,Gold,Scout,True Anomaly Brewing Co.,Houston,TX,Contemporary American-Style Lager,2023
88,Silver,Shouganai,Blue Point Brewing Co.,Patchogue,NY,Contemporary American-Style Lager,2023
89,Bronze,Blackberry Smoke American Lager,New Realm Brewing Co. – Atlanta,Atlanta,GA,Contemporary American-Style Lager,2023
90,Gold,Citrus Snack,Flying Basset Brewing,Gilbert,AZ,Contemporary Gose,2023
91,Silver,In Bloom,Basin+Range,Tucson,AZ,Contemporary Gose,2023
92,Bronze,MexicAle,Shortleaf Brewing,O’Fallon,MO,Contemporary Gose,2023
93,Gold,Board Meeting,Corporate Ladder Brewing Co.,Palmetto,FL,Dessert Stout or Pastry Stout,2023
94,Silver,Mega Devil’s Teeth: Double Dutch S’mores Edition,Modern Times Beer,San Diego,CA,Dessert Stout or Pastry Stout,2023
95,Bronze,Chaos Grid: The Final Final Course,Modern Times Beer,San Diego,CA,Dessert Stout or Pastry Stout,2023
96,Gold,Dortmunder Export,Cooperage Brewing Co.,Santa Rosa,CA,Dortmunder or German-Style Oktoberfest,2023
97,Silver,Thunder from Dortmunder,Marble Brewery – MavLab,Albuquerque,NM,Dortmunder or German-Style Oktoberfest,2023
98,Bronze,Dorty Work,Cloudburst Brewing,Seattle,WA,Dortmunder or German-Style Oktoberfest,2023
99,Gold,Elissa IPA,Saint Arnold Brewing Co.,Houston,TX,English Ale,2023
100,Silver,House Ale,1849 Brewing Co.,Grass Valley,CA,English Ale,2023
101,Bronze,Prickly Pear Pale Ale,Lewis & Clark Brewing Co.,Helena,MT,English Ale,2023
102,Gold,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,English Mild or Bitter,2023
103,Silver,Toasty,The Brew Brothers – Eldorado Scioto Downs Racino,Columbus,OH,English Mild or Bitter,2023
104,Bronze,Good Talk,Gusto Brewing Co.,North Cape May,NJ,English Mild or Bitter,2023
105,Gold,Classic Version,Agile Brewing,Baton Rouge,LA,English-Style Brown Ale,2023
106,Silver,Stone Fort,Seventh Son Brewing Co.,Columbus,OH,English-Style Brown Ale,2023
107,Bronze,Nut Brown,AleSmith Brewing Co.,San Diego,CA,English-Style Brown Ale,2023
108,Gold,Hill & Hollow: Cayuga,Cinderlands Foederhouse,Pittsburgh,PA,Experimental Beer,2023
109,Silver,Apple Pomace Puncheon,Angel City Brewery,Los Angeles,CA,Experimental Beer,2023
110,Bronze,Small Batch – Intinction Sauvignon Blanc,Russian River Brewing Co. – Windsor,Windsor,CA,Experimental Beer,2023
111,Gold,Tropical Terps IPA,Belching Beaver Brewery – Oceanside Brewhouse,Oceanside,CA,Experimental India Pale Ale,2023
112,Silver,Forager IPA,Pumphouse Brewery & Restaurant,Longmont,CO,Experimental India Pale Ale,2023
113,Bronze,Pina Colada Milkshake IPA,14er Brewing Co.,Denver,CO,Experimental India Pale Ale,2023
114,Gold,Soul Shakedown Party,Sun King Brewery,Indianapolis,IN,Experimental Wood-Aged Beer,2023
115,Silver,Boathouse Reserve Imperial Stout,Crystal Lake Brewing,Crystal Lake,IL,Experimental Wood-Aged Beer,2023
